x, y
0.2, 0.104
0.4, 0.2034
0.6, 0.2939
0.8, 0.3716
1.0, 0.4330
1.2, 0.4755
1.4, 0.4973
1.6, 0.4875
1.8, 0.4755
2.0, 0.4330
2.2, 0.3716
2.4, 0.2939
2.6, 0.2034
2.8, 0.1040
3.0, 0.006
3.2, -0.104
3.4, -0.2034
3.6, -0.2939
3.8, -0.3716
4.0, -0.4330
4.2, -0.4755
4.4, -0.4973
4.6, -0.4973
4.8, -0.4755
5.0, -0.4330
5.2, -0.3716
5.4, -0.2939
5.6, -0.2034
5.8, -0.104
6.0, -0.001
6.2, 0.104
6.4, 0.2034
6.6, 0.2939
6.8, 0.3716
7.0, 0.4330
7.2, 0.4755
7.4, 0.4973
7.6, 0.4973
7.8, 0.4755
